R,M,P
0.00040593052258206013,1.1448509027888006e-13,1.2973066977501002e+27
0.0008118610451641203,9.731232628527007e-13,1.297306685539868e+27
0.0012177915677461803,3.205582491175296e-12,1.297306660046289e+27
0.0016237220903282405,7.498773252320113e-12,1.2973066225050657e+27
0.0020296526129103005,1.453960595923542e-11,1.2973065732080919e+27
0.0024355831354923607,2.501499093889595e-11,1.2973065122889583e+27
0.002841513658074421,3.961183841046835e-11,1.2973064398234712e+27
0.003247444180656481,5.901705846352244e-11,1.2973063558595272e+27
0.0036533747032385408,8.391756103627169e-11,1.2973062604295125e+27
0.004059305225820601,1.150002558938321e-10,1.297306153556411e+27
0.004465235748402661,1.529520526064939e-10,1.2973060352571455e+27
0.004871166270984721,1.9845986052800182e-10,1.2973059055445458e+27
0.005277096793566781,2.5221058877384127e-10,1.2973057644285764e+27
0.005683027316148842,3.148911461995299e-10,1.2973056119171318e+27
0.0060889578387309014,3.8718844137891263e-10,1.2973054480165737e+27
0.006494888361312962,4.697893825824591e-10,1.297305272732106e+27
0.006900818883895021,5.633808777555639e-10,1.2973050860680389e+27
0.0073067494064770816,6.686498344968483e-10,1.2973048880279833e+27
0.007712679929059141,7.862831600364642e-10,1.2973046786149954e+27
0.008118610451641202,9.169677612143981e-10,1.297304457831683e+27
0.008524540974223262,1.0613905444587776e-09,1.2973042256802934e+27
0.008930471496805321,1.2202384157641774e-09,1.297303982162772e+27
0.009336402019387381,1.394198280669927e-09,1.297303727280818e+27
0.009742332541969443,1.5839570442384195e-09,1.2973034610359236e+27
0.010148263064551502,1.79020161103342e-09,1.2973031834294057e+27
0.010554193587133562,2.013618885098374e-09,1.2973028944624334e+27
0.010960124109715624,2.254895769934718e-09,1.2973025941360492e+27
0.011366054632297685,2.51471916848019e-09,1.2973022824511865e+27
0.011771985154879745,2.79377598308714e-09,1.2973019594086848e+27
0.012177915677461806,3.092753115500839e-09,1.2973016250093022e+27
0.012583846200043868,3.412337466837793e-09,1.2973012792537254e+27
0.012989776722625931,3.7532159375640525e-09,1.2973009221425788e+27
0.013395707245207989,4.116075427473525e-09,1.297300553676431e+27
0.013801637767790052,4.501602835666285e-09,1.2973001738558038e+27
0.014207568290372114,4.91048506052689e-09,1.2972997826811746e+27
0.014613498812954174,5.34340899970269e-09,1.2972993801529833e+27
0.015019429335536235,5.801061550082139e-09,1.297298966271635e+27
0.015425359858118297,6.284129607773112e-09,1.2972985410375044e+27
0.015831290380700358,6.7933000680812125e-09,1.297298104450939e+27
0.016237220903282418,7.329259825488092e-09,1.297297656512261e+27
0.01664315142586448,7.892695773629752e-09,1.2972971972217712e+27
0.01704908194844654,8.484294805274871e-09,1.2972967265797494e+27
0.017455012471028604,9.104743812303108e-09,1.2972962445864576e+27
0.017860942993610664,9.75472968568342e-09,1.2972957512421405e+27
0.018266873516192723,1.0434939315452375e-08,1.2972952465470284e+27
0.018672804038774787,1.1146059590692466e-08,1.2972947305013372e+27
0.019078734561356846,1.188877739951042e-08,1.2972942031052704e+27
0.019484665083938906,1.2663779629015527e-08,1.2972936643590198e+27
0.01989059560652097,1.3471753165297928e-08,1.2972931142627672e+27
0.02029652612910303,1.4313384893406954e-08,1.2972925528166832e+27
0.02070245665168509,1.5189361697329433e-08,1.2972919800209316e+27
0.021108387174267152,1.6100370459967995e-08,1.297291395875666e+27
0.021514317696849212,1.7047098063119398e-08,1.297290800381033e+27
0.021920248219431275,1.8030231387452826e-08,1.2972901935371724e+27
0.02232617874201334,1.9050457312488234e-08,1.297289575344217e+27
0.022732109264595395,2.0108462716574632e-08,1.2972889458022944e+27
0.023138039787177454,2.120493447686841e-08,1.2972883049115252e+27
0.023543970309759518,2.2340559469311657e-08,1.297287652672026e+27
0.02394990083234158,2.3516024568610473e-08,1.2972869890839084e+27
0.02435583135492364,2.4732016648213285e-08,1.297286314147279e+27
0.024761761877505704,2.598922258028916e-08,1.297285627862241e+27
0.025167692400087763,2.7288329235706113e-08,1.2972849302288918e+27
0.025573622922669827,2.863002348400945e-08,1.297284221247328e+27
0.025979553445251883,3.001499219340003e-08,1.2972835009176403e+27
0.026385483967833946,3.144392223071265e-08,1.297282769239918e+27
0.026791414490416006,3.29175004613943e-08,1.2972820262142463e+27
0.02719734501299807,3.4436413749482506e-08,1.2972812718407083e+27
0.02760327553558013,3.600134895758365e-08,1.2972805061193834e+27
0.028009206058162192,3.761299294685126e-08,1.2972797290503503e+27
0.028415136580744255,3.9272032576964366e-08,1.297278940633684e+27
0.02882106710332631,4.097915470610576e-08,1.297278140869458e+27
0.02922699762590837,4.273504619094038e-08,1.2972773297577434e+27
0.029632928148490435,4.454039388659355e-08,1.29727650729861e+27
0.030038858671072498,4.6395884646629396e-08,1.2972756734921252e+27
0.030444789193654558,4.8302205323029045e-08,1.2972748283383554e+27
0.03085071971623662,5.0260042766168996e-08,1.2972739718373643e+27
0.031256650238818684,5.227008382479948e-08,1.2972731039892155e+27
0.03166258076140074,5.433301534602269e-08,1.2972722247939707e+27
0.032068511283982803,5.644952417527119e-08,1.2972713342516903e+27
0.03247444180656486,5.862029715628612e-08,1.2972704323624325e+27
0.03288037232914692,6.084602113109563e-08,1.2972695191262563e+27
0.03328630285172898,6.312738293999311e-08,1.297268594543218e+27
0.03369223337431105,6.546506942151554e-08,1.2972676586133738e+27
0.03409816389689311,6.785976741242181e-08,1.2972667113367782e+27
0.03450409441947517,7.031216374767103e-08,1.2972657527134858e+27
0.03491002494205723,7.282294526040084e-08,1.297264782743549e+27
0.03531595546463929,7.539279878190575e-08,1.297263801427021e+27
0.035721885987221355,7.802241114161542e-08,1.2972628087639534e+27
0.036127816509803415,8.071246916707302e-08,1.297261804754397e+27
0.036533747032385475,8.346365968391348e-08,1.297260789398402e+27
0.036939677554967534,8.627666951584192e-08,1.2972597626960177e+27
0.0373456080775496,8.915218548461183e-08,1.2972587246472936e+27
0.037751538600131654,9.20908944100035e-08,1.2972576752522788e+27
0.03815746912271372,9.509348310980229e-08,1.2972566145110204e+27
0.03856339964529578,9.816063839977692e-08,1.297255542423567e+27
0.03896933016787784,1.0129304709365781e-07,1.297254458989965e+27
0.0393752606904599,1.0449139600311549e-07,1.2972533642102616e+27
0.039781191213041966,1.0775637193773873e-07,1.297252258084502e+27
0.040187121735624026,1.11088661705013e-07,1.2972511406127337e+27
0.040593052258206086,1.1448895211029875e-07,1.2972500117950017e+27
0.04099898278078815,1.1795792995680975e-07,1.2972488716313516e+27
0.041404913303370205,1.2149628204559135e-07,1.297247720121828e+27
0.04181084382595227,1.251046951754988e-07,1.2972465572664758e+27
0.04221677434853433,1.2878385614317573e-07,1.2972453830653395e+27
0.042622704871116385,1.325344517430321e-07,1.2972441975184634e+27
0.04302863539369845,1.3635716876722308e-07,1.297243000625892e+27
0.04343456591628051,1.402526940056267e-07,1.2972417923876688e+27
0.04384049643886258,1.4422171424582275e-07,1.2972405728038377e+27
0.04424642696144464,1.4826491627307082e-07,1.297239341874442e+27
0.044652357484026704,1.5238298687028853e-07,1.2972380995995256e+27
0.04505828800660876,1.565766128180301e-07,1.2972368459791315e+27
0.04546421852919082,1.608464808944646e-07,1.2972355810133027e+27
0.045870149051772884,1.6519327787535398e-07,1.2972343047020826e+27
0.046276079574354936,1.6961769053403192e-07,1.2972330170455143e+27
0.046682010096937,1.7412040564138165e-07,1.29723171804364e+27
0.04708794061951906,1.787021099658144e-07,1.2972304076965037e+27
0.04749387114210113,1.833634902732481e-07,1.2972290860041473e+27
0.04789980166468319,1.8810523332708513e-07,1.2972277529666135e+27
0.04830573218726524,1.92928025888191e-07,1.2972264085839455e+27
0.04871166270984731,1.9783255471487245e-07,1.297225052856186e+27
0.04911759323242937,2.0281950656285606e-07,1.297223685783377e+27
0.049523523755011435,2.078895681852663e-07,1.2972223073655618e+27
0.04992945427759349,2.1304342633260387e-07,1.2972209176027828e+27
0.050335384800175555,2.1828176775272427e-07,1.297219516495083e+27
0.050741315322757614,2.2360527919081593e-07,1.2972181040425047e+27
0.051147245845339674,2.2901464738937833e-07,1.2972166802450915e+27
0.051553176367921734,2.3451055908820063e-07,1.2972152451028854e+27
0.051959106890503794,2.4009370102434013e-07,1.2972137986159293e+27
0.05236503741308586,2.4576475993210005e-07,1.2972123407842664e+27
0.05277096793566792,2.515244225430083e-07,1.2972108716079392e+27
0.05317689845824999,2.573733755857956e-07,1.297209391086991e+27
0.05358282898083204,2.63312305786374e-07,1.297207899221465e+27
0.0539887595034141,2.693418998678147e-07,1.2972063960114035e+27
0.054394690025996166,2.754628445503271e-07,1.297204881456851e+27
0.05480062054857822,2.816758265512366e-07,1.2972033555578496e+27
0.055206551071160286,2.879815325849632e-07,1.2972018183144432e+27
0.055612481593742345,2.943806493629994e-07,1.2972002697266754e+27
0.05601841211632441,3.008738635938889e-07,1.29719870979459e+27
0.05642434263890647,3.0746186198320514e-07,1.2971971385182309e+27
0.056830273161488525,3.1414533123352894e-07,1.2971955558976406e+27
0.05723620368407059,3.209249580444274e-07,1.2971939619328641e+27
0.05764213420665265,3.278014291124319e-07,1.2971923566239452e+27
0.05804806472923472,3.3477543113101644e-07,1.297190739970928e+27
0.05845399525181677,3.418476507905764e-07,1.297189111973857e+27
0.05885992577439884,3.490187747784063e-07,1.2971874726327767e+27
0.0592658562969809,3.562894897786784e-07,1.297185821947731e+27
0.05967178681956296,3.636604824724207e-07,1.2971841599187654e+27
0.06007771734214502,3.7113243953749595e-07,1.2971824865459247e+27
0.060483647864727076,3.787060476485791e-07,1.297180801829253e+27
0.06088957838730914,3.8638199347713665e-07,1.2971791057687967e+27
0.0612955089098912,3.941609636914038e-07,1.2971773983646e+27
0.06170143943247327,4.020436449563637e-07,1.2971756796167087e+27
0.06210736995505532,4.100307239337253e-07,1.2971739495251684e+27
0.0625133004776374,4.181228872819018e-07,1.297172208090025e+27
0.06291923100021944,4.2632082165598904e-07,1.297170455311324e+27
0.0633251615228015,4.346252137077441e-07,1.2971686911891122e+27
0.06373109204538357,4.4303675008556244e-07,1.2971669157234354e+27
0.06413702256796563,4.515561174344579e-07,1.29716512891434e+27
0.0645429530905477,4.601840023960398e-07,1.297163330761873e+27
0.06494888361312975,4.6892109160849146e-07,1.2971615212660802e+27
0.06535481413571181,4.777680717065495e-07,1.2971597004270098e+27
0.06576074465829387,4.867256293214803e-07,1.297157868244708e+27
0.06616667518087593,4.957944510810605e-07,1.2971560247192223e+27
0.066572605703458,5.049752236095532e-07,1.2971541698506008e+27
0.06697853622604005,5.142686335276883e-07,1.2971523036388904e+27
0.06738446674862213,5.236753674526388e-07,1.2971504260841392e+27
0.06779039727120419,5.331961119980012e-07,1.297148537186395e+27
0.06819632779378625,5.428315537737721e-07,1.297146636945707e+27
0.0686022583163683,5.525823793863274e-07,1.2971447253621222e+27
0.06900818883895037,5.624492754384004e-07,1.2971428024356906e+27
0.06941411936153243,5.724329285290602e-07,1.29714086816646e+27
0.06982004988411449,5.825340252536902e-07,1.29713892255448e+27
0.07022598040669654,5.927532522039656e-07,1.2971369655997995e+27
0.0706319109292786,6.03091295967833e-07,1.297134997302468e+27
0.07103784145186068,6.135488431294876e-07,1.2971330176625356e+27
0.07144377197444272,6.241265802693525e-07,1.2971310266800516e+27
0.07184970249702478,6.348251939640559e-07,1.2971290243550661e+27
0.07225563301960686,6.456453707864102e-07,1.2971270106876295e+27
0.07266156354218892,6.565877973053905e-07,1.2971249856777923e+27
0.07306749406477098,6.676531600861122e-07,1.2971229493256048e+27
0.07347342458735304,6.788421456898099e-07,1.2971209016311178e+27
0.0738793551099351,6.901554406738157e-07,1.2971188425943828e+27
0.07428528563251716,7.015937315915366e-07,1.297116772215451e+27
0.07469121615509922,7.131577049924347e-07,1.2971146904943742e+27
0.07509714667768128,7.248480474220036e-07,1.2971125974312032e+27
