xi: Dimensionless distance
theta: Dimensionless pressure T
M: Dimensionless mass M


xi	theta	M
1e-05	0.9999999982577603	4.188790198174515e-15
2e-05	0.9999999945079652	3.5604716519186474e-14
3.0000000000000004e-05	0.9999999866788184	1.1728612420854248e-13
4e-05	0.9999999751498075	2.743657520917054e-13
5e-05	0.9999999600105737	5.319763366479208e-13
6e-05	0.9999999413021426	9.15250611210827e-13
7.000000000000001e-05	0.9999999190477945	1.4493213051695711e-12
8e-05	0.999999893262238	2.1593211431716006e-12
9e-05	0.9999998639554188	3.070382844326522e-12
0.0001	0.9999998311343946	4.207639121410642e-12
0.00011	0.999999794804362	5.5962226800719614e-12
0.00012	0.9999997549692605	7.261266218035492e-12
0.00013000000000000002	0.9999997116321497	9.227902424308803e-12
0.00014000000000000001	0.9999996647954532	1.1521263978387737e-11
0.00015000000000000001	0.9999996144611241	1.4166483549462267e-11
0.00016	0.9999995606307595	1.718869379562245e-11
0.00017	0.9999995033056823	2.0613027363064466e-11
0.00018	0.9999994424870008	2.4464616885296734e-11
0.00019	0.9999993781756522	2.8768594982346064e-11
0.0002	0.9999993103724367	3.355009425996388e-11
0.00021	0.999999239078043	3.883424730883246e-11
0.00022	0.9999991642930677	4.4646186703771234e-11
0.00023	0.9999990860180313	5.101104500294308e-11
0.00024	0.9999990042533909	5.795395474706066e-11
0.00025	0.9999989189995497	6.55000484585928e-11
0.00026000000000000003	0.9999988302568653	7.367445864097086e-11
0.00027000000000000006	0.9999987380256564	8.25023177777951e-11
0.0002800000000000001	0.9999986423062083	9.200875833204114e-11
0.0002900000000000001	0.9999985430987771	1.0221891274526634e-10
0.00030000000000000014	0.9999984404035943	1.1315791343681629e-10
0.00031000000000000016	0.999998334220869	1.248508928030312e-10
0.0003200000000000002	0.9999982245507913	1.3732298321645233e-10
0.0003300000000000002	0.9999981113935343	1.505993170250286e-10
0.00034000000000000024	0.9999979947492562	1.6470502655132286e-10
0.00035000000000000027	0.9999978746181019	1.796652440917186e-10
0.0003600000000000003	0.9999977510002044	1.9550510191562624e-10
0.0003700000000000003	0.9999976238956864	2.1224973226468972e-10
0.00038000000000000035	0.9999974933046608	2.2992426735199302e-10
0.00039000000000000037	0.9999973592272324	2.4855383936126657e-10
0.0004000000000000004	0.999997221663498	2.681635804460939e-10
0.0004100000000000004	0.9999970806135478	2.887786227291181e-10
0.00042000000000000045	0.9999969360774653	3.104240983012482e-10
0.0004300000000000005	0.9999967880553289	3.3312513922086594e-10
0.0004400000000000005	0.9999966365472113	3.569068775130322e-10
0.00045000000000000053	0.9999964815531809	3.8179444516869344e-10
0.00046000000000000056	0.9999963230733016	4.078129741438884e-10
0.0004700000000000006	0.9999961611076332	4.3498759635895456e-10
0.0004800000000000006	0.9999959956562323	4.6334344369773463e-10
0.0004900000000000006	0.999995826719152	4.929056480067833e-10
0.0005000000000000007	0.9999956542964421	5.236993410945734e-10
0.0005100000000000007	0.99999547838815	5.55749654730703e-10
0.0005200000000000007	0.9999952989943202	5.890817206451015e-10
0.0005300000000000007	0.9999951161149948	6.237206705272366e-10
0.0005400000000000008	0.999994929750214	6.596916360253204e-10
0.0005500000000000008	0.9999947399000156	6.970197487455164e-10
0.0005600000000000008	0.9999945465644358	7.357301402511457e-10
0.0005700000000000008	0.9999943497435085	7.75847942061894e-10
0.0005800000000000009	0.9999941494372665	8.173982856530177e-10
0.0005900000000000009	0.9999939456457407	8.604063024545509e-10
0.0006000000000000009	0.9999937383689609	9.048971238505117e-10
