R,M,P
0.00040593052258206013,1.1448509027888006e-13,1.2973066977501002e+27
0.0008118610451641203,9.731232630685001e-13,1.297306685539868e+27
0.0012177915677461803,3.205582494448253e-12,1.297306660046289e+27
0.0016237220903282405,7.49877326969196e-12,1.2973066225050657e+27
0.0020296526129103005,1.453960601901183e-11,1.2973065732080919e+27
0.0024355831354923607,2.50149910991629e-11,1.297306512288958e+27
0.002841513658074421,3.961183877506126e-11,1.2973064398234704e+27
0.003247444180656481,5.901705920144809e-11,1.2973063558595258e+27
0.0036533747032385408,8.39175624045829e-11,1.2973062604295098e+27
0.004059305225820601,1.150002582639553e-10,1.297306153556407e+27
0.004465235748402661,1.5295205649400937e-10,1.2973060352571384e+27
0.004871166270984721,1.9845986662587656e-10,1.2973059055445359e+27
0.005277096793566781,2.52210597989115e-10,1.297305764428563e+27
0.005683027316148842,3.1489115969345357e-10,1.297305611917113e+27
0.0060889578387309014,3.8718846061053973e-10,1.2973054480165487e+27
0.006494888361312962,4.697894093556895e-10,1.2973052727320727e+27
0.006900818883895021,5.633809142696413e-10,1.2973050860679954e+27
0.0073067494064770816,6.686498834003092e-10,1.2973048880279283e+27
0.007712679929059141,7.862832244845401e-10,1.2973046786149267e+27
0.008118610451641202,9.169678449298712e-10,1.2973044578315987e+27
0.008524540974223262,1.0613906517962878e-09,1.2973042256801897e+27
0.008930471496805321,1.220238551777983e-09,1.297303982162646e+27
0.009336402019387381,1.3941984511851185e-09,1.2973037272806673e+27
0.009742332541969443,1.5839572559255848e-09,1.297303461035744e+27
0.010148263064551502,1.7902018714867624e-09,1.2973031834291932e+27
0.010554193587133562,2.013619202917284e-09,1.2973028944621839e+27
0.010960124109715624,2.254896154808798e-09,1.2973025941357579e+27
0.011366054632297685,2.5147196312777314e-09,1.2973022824508481e+27
0.011771985154879745,2.7937765359470468e-09,1.297301959408294e+27
0.012177915677461806,3.0927537719280188e-09,1.2973016250088533e+27
0.012583846200043868,3.412338241801984e-09,1.2973012792532116e+27
0.012989776722625931,3.753216847602112e-09,1.2973009221419936e+27
